VFSC,PAM
54.67,103.64
54.55,103.60
54.40,103.55
54.20,103.49
53.89,103.34
53.55,103.16
53.21,102.98
52.90,102.79
52.64,102.60
52.58,102.49
52.69,102.42
52.82,102.34
52.95,102.24
53.05,102.10
53.03,101.88
52.61,101.41
52.17,100.92
51.75,100.45
51.39,100.02
51.15, 99.67
51.50, 99.71
52.00, 99.86
52.58,100.07
53.18,100.33
53.75,100.60
54.06,100.78
54.16,100.87
54.19,100.95
54.16,101.01
54.08,101.06
53.99,101.12
53.90,101.20
53.80,101.27
53.72,101.33
53.64,101.37
53.60,101.39
53.70,101.33
53.83,101.25
53.97,101.17
54.10,101.09
54.20,101.03
54.17,101.07
54.06,101.17
53.92,101.27
53.78,101.37
53.66,101.44
53.63,101.44
53.70,101.35
53.80,101.23
53.91,101.06
54.02,100.86
54.11,100.63
54.09,100.33
54.06,100.01
54.03, 99.70
53.99, 99.40
53.96, 99.13
53.95, 98.93
53.96, 98.79
54.00, 98.69
54.06, 98.64
54.16, 98.65
54.34, 98.74
54.59, 98.91
54.86, 99.11
55.14, 99.32
55.39, 99.53
55.58, 99.68
55.70, 99.78
55.78, 99.84
55.82, 99.87
55.83, 99.87
55.81, 99.84
55.75, 99.77
55.67, 99.67
55.57, 99.54
55.45, 99.39
55.30, 99.20
55.15, 98.97
54.99, 98.72
54.81, 98.45
54.62, 98.19
54.43, 97.93
54.12, 97.69
53.73, 97.46
53.40, 97.27
53.17, 97.13
53.10, 97.05
53.28, 97.06
54.03, 97.21
54.94, 97.44
55.98, 97.73
57.10, 98.08
58.26, 98.48
59.42, 98.98
60.52, 99.50
61.52,100.01
62.35,100.49
62.96,100.91
62.90,101.10
62.60,101.22
62.14,101.28
61.56,101.31
60.93,101.31
60.43,101.33
59.99,101.35
59.56,101.38
59.17,101.42
58.83,101.49
58.57,101.64
58.40,101.84
58.26,102.06
58.16,102.31
58.10,102.57
58.06,102.81
58.04,103.05
58.02,103.31
58.00,103.59
57.97,103.89
57.88,104.32
57.77,104.78
57.63,105.24
57.47,105.68
57.28,106.06
57.10,106.29
56.90,106.42
56.67,106.47
56.40,106.46
56.11,106.38
55.72,106.21
55.28,105.97
54.81,105.69
54.33,105.36
53.85,105.02
53.40,104.66
53.02,104.31
52.66,103.95
52.33,103.61
52.02,103.28
51.74,102.97
51.43,102.67
51.16,102.40
50.95,102.18
50.80,102.02
50.73,101.92
50.87,101.97
51.10,102.10
51.38,102.28
51.70,102.50
52.03,102.75
52.36,103.04
52.67,103.32
52.92,103.59
53.09,103.84
53.17,104.03
52.93,104.07
52.58,104.05
52.15,103.98
51.67,103.87
51.17,103.73
50.74,103.60
50.36,103.46
50.00,103.31
49.66,103.13
49.35,102.93
49.08,102.70
48.86,102.42
48.66,102.14
48.48,101.85
48.32,101.58
48.14,101.33
47.95,101.13
47.78,100.94
47.62,100.78
47.50,100.65
47.43,100.56
47.43,100.52
47.45,100.49
47.48,100.46
47.54,100.40
47.58,100.29
47.61,100.10
47.64, 99.87
47.68, 99.64
47.74, 99.39
47.81, 99.14
47.92, 98.92
48.05, 98.70
48.18, 98.49
48.31, 98.29
48.43, 98.10
48.48, 97.92
48.50, 97.75
48.53, 97.60
48.60, 97.47
48.70, 97.36
48.92, 97.27
49.29, 97.21
49.71, 97.18
50.14, 97.18
50.58, 97.23
50.99, 97.35
51.29, 97.58
51.57, 97.84
51.83, 98.12
52.08, 98.40
52.33, 98.65
52.65, 98.79
52.95, 98.89
53.23, 98.97
53.47, 99.02
53.67, 99.04
53.72, 99.03
53.68, 99.00
53.60, 98.95
53.50, 98.89
53.40, 98.81
53.33, 98.72
53.33, 98.61
53.35, 98.50
53.38, 98.39
53.43, 98.30
53.48, 98.22
53.56, 98.20
53.64, 98.20
53.71, 98.21
53.76, 98.22
53.80, 98.24
53.79, 98.26
53.75, 98.26
53.68, 98.26
53.58, 98.24
53.45, 98.20
53.23, 98.09
52.96, 97.92
52.68, 97.75
52.42, 97.56
52.18, 97.38
52.01, 97.23
52.01, 97.14
52.06, 97.08
52.14, 97.02
52.24, 96.97
52.35, 96.93
52.39, 96.84
52.42, 96.74
52.44, 96.66
52.48, 96.62
52.54, 96.61
52.68, 96.73
52.87, 96.95
53.07, 97.19
53.27, 97.46
53.45, 97.72
53.57, 97.96
53.54, 98.07
53.48, 98.16
53.42, 98.24
53.36, 98.33
53.33, 98.42
53.39, 98.55
53.51, 98.72
53.68, 98.91
53.91, 99.12
54.21, 99.37
54.66, 99.68
55.26,100.06
55.89,100.45
56.49,100.84
57.03,101.22
57.42,101.56
57.45,101.82
57.37,102.04
57.22,102.21
57.00,102.32
56.75,102.38
56.56,102.33
56.41,102.19
56.26,102.02
56.10,101.81
55.94,101.60
55.77,101.39
55.59,101.25
55.41,101.12
55.22,101.00
55.04,100.90
54.85,100.81
54.68,100.77
54.51,100.74
54.34,100.71
54.18,100.68
54.01,100.62
53.79,100.50
53.53,100.32
53.30,100.11
53.10, 99.90
52.96, 99.68
52.90, 99.46
53.13, 99.31
53.41, 99.15
53.72, 99.00
54.03, 98.85
54.32, 98.70
54.42, 98.46
54.38, 98.17
54.32, 97.92
54.28, 97.72
54.27, 97.60
54.40, 97.62
54.70, 97.83
55.05, 98.14
55.43, 98.56
55.84, 99.09
56.22, 99.76
56.56,100.56
56.90,101.43
57.25,102.36
57.59,103.32
58.00,104.27
58.47,105.18
58.89,106.08
59.25,106.95
59.51,107.79
59.54,108.60
59.29,109.39
58.94,110.08
58.53,110.67
58.07,111.12
57.65,111.31
57.29,111.21
56.94,111.00
56.61,110.72
56.31,110.40
56.07,110.19
55.88,110.04
55.69,109.88
55.50,109.72
55.28,109.53
54.99,109.31
54.67,109.06
54.31,108.77
53.90,108.42
53.42,108.01
52.81,107.48
52.17,106.90
51.52,106.28
50.86,105.64
50.24,104.98
49.72,104.35
49.24,103.72
48.82,103.08
48.44,102.45
48.11,101.81
47.82,101.15
47.59,100.48
47.42, 99.83
47.33, 99.22
47.32, 98.65
47.49, 98.18
47.80, 97.81
48.15, 97.47
48.51, 97.17
48.86, 96.89
49.05, 96.59
49.07, 96.27
49.05, 95.96
49.01, 95.66
48.99, 95.40
48.99, 95.16
49.16, 94.95
49.36, 94.79
49.61, 94.67
49.89, 94.59
50.22, 94.55
50.63, 94.61
51.08, 94.74
51.53, 94.89
51.95, 95.08
52.32, 95.28
52.52, 95.46
52.57, 95.61
52.58, 95.78
52.57, 95.96
52.56, 96.16
52.63, 96.41
52.87, 96.71
53.12, 97.03
53.36, 97.35
53.58, 97.66
53.74, 97.97
53.71, 98.19
53.62, 98.40
53.50, 98.60
53.34, 98.78
53.17, 98.96
53.04, 99.18
52.91, 99.38
52.77, 99.57
52.61, 99.74
52.43, 99.89
52.18, 99.98
51.91,100.03
51.63,100.04
51.34,100.03
51.07, 99.99
50.81, 99.92
50.59, 99.81
50.39, 99.69
50.24, 99.55
50.13, 99.41
50.09, 99.26
50.16, 99.08
50.28, 98.92
50.44, 98.81
50.63, 98.75
50.85, 98.80
51.10, 99.06
51.36, 99.37
51.61, 99.73
51.84,100.10
52.04,100.45
52.13,100.67
52.18,100.86
52.20,101.04
52.19,101.21
52.14,101.37
52.08,101.55
52.00,101.73
51.89,101.92
51.76,102.11
51.61,102.31
51.36,102.50
51.06,102.68
50.79,102.89
50.56,103.12
50.42,103.40
50.51,103.82
50.79,104.34
51.14,104.86
51.52,105.36
51.93,105.81
52.30,106.08
52.62,106.22
52.89,106.28
53.07,106.26
53.15,106.16
52.94,105.99
52.51,105.75
52.01,105.45
51.47,105.09
50.93,104.69
50.48,104.24
50.24,103.76
50.05,103.25
49.91,102.72
49.82,102.18
49.77,101.63
49.76,101.07
49.78,100.52
49.82, 99.99
49.87, 99.48
49.92, 99.01
49.94, 98.59
49.92, 98.24
49.89, 97.94
49.87, 97.70
49.86, 97.52
49.88, 97.45
49.94, 97.48
50.00, 97.55
50.04, 97.64
50.07, 97.73
50.05, 97.76
49.96, 97.71
49.84, 97.63
49.67, 97.55
49.47, 97.46
49.20, 97.38
48.83, 97.36
48.43, 97.34
48.03, 97.31
47.63, 97.26
47.27, 97.18
47.02, 96.98
46.83, 96.74
46.70, 96.50
46.61, 96.26
46.57, 96.04
46.63, 95.92
46.75, 95.86
46.90, 95.83
47.07, 95.81
47.24, 95.80
47.39, 95.75
47.50, 95.68
47.60, 95.60
47.69, 95.52
47.77, 95.45
47.84, 95.38
47.89, 95.35
47.94, 95.32
47.98, 95.29
48.01, 95.24
48.03, 95.19
48.02, 95.05
48.01, 94.90
48.01, 94.74
48.02, 94.60
48.05, 94.49
48.12, 94.44
48.23, 94.45
48.37, 94.51
48.55, 94.62
48.77, 94.78
49.09, 95.01
49.53, 95.35
49.98, 95.70
50.40, 96.06
50.79, 96.41
51.05, 96.69
51.04, 96.83
50.96, 96.93
50.83, 96.99
50.67, 97.03
50.49, 97.06
50.41, 97.12
50.36, 97.17
50.31, 97.23
50.27, 97.28
50.24, 97.32
50.19, 97.33
50.12, 97.33
50.08, 97.33
50.06, 97.35
50.08, 97.40
50.20, 97.53
50.43, 97.75
50.68, 97.98
50.91, 98.21
51.10, 98.42
51.18, 98.58
51.11, 98.65
50.96, 98.67
50.75, 98.65
50.48, 98.58
50.15, 98.45
49.67, 98.20
49.17, 97.92
48.67, 97.60
48.20, 97.28
47.78, 96.95
47.57, 96.66
47.51, 96.41
47.53, 96.17
47.61, 95.96
47.74, 95.77
47.91, 95.61
48.07, 95.46
48.27, 95.34
48.50, 95.27
48.77, 95.25
49.07, 95.30
49.45, 95.48
49.86, 95.74
50.28, 96.04
50.70, 96.39
51.10, 96.77
51.43, 97.17
51.68, 97.59
51.90, 98.01
52.10, 98.42
52.27, 98.82
52.42, 99.19
52.55, 99.52
52.68, 99.80
52.79,100.04
52.89,100.23
52.99,100.32
53.08,100.26
53.17,100.18
53.27,100.10
53.40,100.06
53.62,100.19
53.92,100.50
54.21,100.85
54.46,101.22
54.65,101.58
54.63,101.82
54.41,101.93
54.09,101.99
53.71,102.03
53.27,102.06
52.81,102.10
52.38,102.24
51.93,102.37
51.47,102.48
51.01,102.53
50.53,102.53
49.97,102.30
49.41,101.96
48.90,101.59
48.47,101.24
48.16,100.92
48.19,100.77
48.51,100.79
48.91,100.86
49.34,100.96
49.74,101.07
49.89,101.13
49.75,101.13
49.55,101.12
49.32,101.08
49.08,101.04
48.90,101.00
48.91,100.96
48.96,100.91
49.04,100.85
49.15,100.77
49.29,100.66
49.36,100.50
49.45,100.31
49.56,100.10
49.73, 99.88
49.94, 99.66
50.30, 99.42
50.81, 99.17
51.35, 98.95
51.91, 98.78
52.46, 98.69
52.95, 98.70
53.29, 98.87
53.59, 99.15
53.87, 99.52
54.14, 99.99
54.45,100.60
54.89,101.42
55.30,102.29
55.65,103.15
55.90,103.96
55.95,104.61
55.62,104.95
55.18,105.17
54.66,105.31
54.11,105.37
53.57,105.38
53.26,105.43
52.98,105.44
52.73,105.40
52.48,105.32
52.24,105.20
51.94,104.97
51.62,104.69
51.31,104.38
51.02,104.07
50.76,103.76
50.61,103.56
50.54,103.42
50.47,103.29
50.40,103.13
50.29,102.94
50.07,102.63
49.67,102.15
49.24,101.63
48.79,101.09
48.34,100.54
47.92,100.01
47.61, 99.63
47.36, 99.29
47.15, 98.96
46.99, 98.64
46.88, 98.32
46.83, 97.91
46.86, 97.43
46.93, 96.95
47.06, 96.51
47.24, 96.13
47.48, 95.85
47.85, 95.81
48.24, 95.85
48.63, 95.94
49.01, 96.08
49.35, 96.24
49.49, 96.36
49.57, 96.48
49.61, 96.59
49.63, 96.69
49.65, 96.77
49.69, 96.76
49.77, 96.70
49.86, 96.63
49.96, 96.56
50.09, 96.50
50.24, 96.47
50.48, 96.52
50.73, 96.60
50.97, 96.72
51.19, 96.89
51.37, 97.09
51.38, 97.35
51.32, 97.65
51.26, 98.01
51.20, 98.40
51.17, 98.85
51.32, 99.42
51.58,100.08
51.87,100.73
52.16,101.36
52.43,101.94
52.62,102.35
52.68,102.57
52.71,102.71
52.70,102.79
52.67,102.82
52.63,102.84
52.59,102.89
52.55,102.93
52.50,102.95
52.45,102.95
52.40,102.94
52.35,102.88
52.31,102.81
52.28,102.74
52.27,102.68
52.29,102.64
52.45,102.73
52.65,102.85
52.83,102.96
52.97,103.05
53.03,103.10
52.84,103.00
52.44,102.78
51.98,102.51
51.49,102.21
50.98,101.89
50.54,101.59
50.24,101.36
49.97,101.13
49.75,100.90
49.57,100.65
49.42,100.39
49.21, 99.94
49.06, 99.50
48.98, 99.11
49.00, 98.80
49.14, 98.60
49.68, 98.78
50.37, 99.13
51.08, 99.57
51.77,100.07
52.38,100.59
52.51,101.00
52.49,101.38
52.39,101.75
52.26,102.10
52.13,102.42
52.25,102.73
52.44,103.01
52.62,103.26
52.78,103.47
52.86,103.64
52.64,103.68
52.39,103.70
52.15,103.71
51.97,103.74
52.04,103.90
52.34,104.15
52.67,104.41
53.00,104.64
53.25,104.80
53.23,104.78
53.13,104.68
52.95,104.52
52.71,104.32
52.44,104.09
52.18,103.86
51.87,103.60
51.53,103.31
51.15,102.99
50.72,102.62
50.16,102.21
49.59,101.76
49.01,101.29
48.47,100.78
47.96,100.26
47.63, 99.69
47.39, 99.11
47.20, 98.52
47.06, 97.93
46.96, 97.36
46.86, 96.82
46.76, 96.34
46.69, 95.89
46.63, 95.46
46.61, 95.05
46.61, 94.66
46.61, 94.22
46.64, 93.79
46.72, 93.41
46.86, 93.10
47.08, 92.88
47.50, 92.83
48.12, 92.96
48.76, 93.18
49.39, 93.48
49.96, 93.83
50.36, 94.24
50.30, 94.66
50.14, 95.11
49.93, 95.56
49.69, 96.01
49.48, 96.45
49.56, 96.82
49.77, 97.15
50.00, 97.45
50.23, 97.73
50.44, 97.98
50.51, 98.17
50.42, 98.31
50.30, 98.45
50.18, 98.59
50.08, 98.78
50.06, 99.04
50.25, 99.51
50.48,100.00
50.72,100.50
50.96,100.97
51.17,101.39
51.23,101.59
51.26,101.72
51.25,101.79
51.20,101.81
51.12,101.79
51.00,101.72
50.85,101.61
50.69,101.49
50.52,101.38
50.36,101.27
50.24,101.24
50.21,101.37
50.19,101.50
50.17,101.63
50.13,101.73
50.08,101.76
49.89,101.57
49.66,101.27
49.43,100.92
49.19,100.54
48.99,100.14
48.84, 99.78
48.81, 99.52
48.82, 99.27
48.87, 99.03
48.95, 98.79
49.07, 98.55
49.21, 98.26
49.37, 97.92
49.56, 97.60
49.76, 97.29
49.97, 97.02
50.19, 96.79
50.40, 96.66
50.61, 96.59
50.82, 96.58
51.04, 96.62
51.26, 96.70
51.47, 96.83
51.66, 96.97
51.85, 97.16
52.06, 97.40
52.30, 97.70
52.56, 98.06
52.92, 98.59
53.33, 99.20
53.78, 99.83
54.25,100.45
54.73,101.03
55.25,101.48
55.81,101.74
56.34,101.93
56.84,102.07
57.27,102.16
57.63,102.22
57.65,102.33
57.58,102.43
57.46,102.49
57.32,102.51
57.18,102.47
57.12,102.37
57.33,102.13
57.57,101.84
57.85,101.50
58.12,101.11
58.39,100.70
58.59,100.24
58.69, 99.76
58.76, 99.27
58.80, 98.77
58.80, 98.29
58.77, 97.83
58.68, 97.39
58.53, 97.00
58.38, 96.66
58.24, 96.37
58.12, 96.16
58.03, 96.03
58.06, 96.08
58.17, 96.25
58.32, 96.48
58.50, 96.77
58.71, 97.08
58.96, 97.40
59.31, 97.68
59.63, 97.96
59.91, 98.24
60.12, 98.51
60.23, 98.77
60.00, 99.00
59.53, 99.20
58.99, 99.39
58.42, 99.57
57.85, 99.73
57.37, 99.88
57.26, 99.99
57.20,100.09
57.16,100.21
57.11,100.35
57.02,100.52
56.71,100.86
56.25,101.28
55.76,101.70
55.24,102.09
54.71,102.42
54.23,102.61
53.82,102.53
53.46,102.37
53.13,102.13
52.85,101.85
52.61,101.53
52.47,101.25
52.39,100.98
52.36,100.71
52.38,100.44
52.43,100.17
52.53, 99.92
52.71, 99.70
52.91, 99.50
53.13, 99.32
53.33, 99.16
53.50, 99.02
53.63, 98.90
53.40, 98.71
53.16, 98.56
52.96, 98.48
52.84, 98.47
52.84, 98.57
53.26, 98.85
54.04, 99.32
54.92, 99.90
55.84,100.58
56.76,101.35
57.54,102.24
58.10,103.28
58.53,104.35
58.83,105.43
58.97,106.47
58.94,107.43
58.44,108.11
57.81,108.70
57.11,109.20
56.39,109.61
55.70,109.95
55.31,110.24
55.14,110.49
55.05,110.66
55.02,110.76
55.01,110.77
55.01,110.69
54.98,110.43
54.94,110.11
54.85,109.74
54.72,109.35
54.53,108.94
54.12,108.68
53.64,108.43
53.12,108.17
52.58,107.88
52.04,107.56
51.58,107.09
51.19,106.52
50.83,105.93
50.51,105.31
50.24,104.68
50.04,104.08
49.98,103.58
49.96,103.10
49.96,102.63
49.96,102.16
49.95,101.69
49.83,101.16
49.59,100.58
49.34,100.01
49.10, 99.46
48.89, 98.95
48.73, 98.50
48.77, 98.21
48.85, 97.97
48.97, 97.78
49.11, 97.62
49.24, 97.48
49.31, 97.32
49.35, 97.16
49.38, 97.01
49.39, 96.87
49.38, 96.73
49.35, 96.59
49.25, 96.42
49.15, 96.26
49.07, 96.13
49.03, 96.01
49.04, 95.93
49.15, 95.91
49.35, 95.94
49.62, 96.01
49.97, 96.12
50.40, 96.28
50.95, 96.49
51.73, 96.76
52.55, 97.08
53.38, 97.45
54.17, 97.86
54.89, 98.31
55.34, 98.90
55.65, 99.52
55.86,100.14
55.98,100.74
56.00,101.29
55.88,101.69
55.66,101.94
55.38,102.12
55.10,102.23
54.82,102.29
54.59,102.30
54.69,102.30
54.83,102.27
54.97,102.20
55.09,102.09
55.14,101.94
54.95,101.71
54.50,101.42
54.01,101.11
53.52,100.82
53.06,100.55
52.71,100.35
52.78,100.35
52.91,100.40
53.08,100.48
53.25,100.57
53.38,100.67
53.20,100.66
52.82,100.58
52.43,100.50
52.05,100.42
51.74,100.36
51.60,100.34
51.84,100.39
52.19,100.48
52.60,100.61
53.07,100.78
53.55,101.00
53.89,101.37
54.23,101.77
54.58,102.18
54.93,102.57
55.31,102.93
55.84,103.12
56.40,103.25
56.94,103.33
57.41,103.37
57.79,103.38
57.86,103.37
57.64,103.32
57.35,103.29
57.06,103.28
56.82,103.31
56.73,103.43
57.06,103.73
57.48,104.07
57.95,104.43
58.44,104.78
58.89,105.08
59.22,105.27
59.50,105.42
59.72,105.51
59.86,105.56
59.87,105.53
59.71,105.44
59.48,105.29
59.20,105.10
58.88,104.86
58.55,104.59
58.31,104.29
58.06,103.96
57.81,103.60
57.54,103.22
57.24,102.83
56.87,102.42
56.46,102.01
56.04,101.59
55.62,101.16
55.22,100.72
54.85,100.25
54.57, 99.72
54.32, 99.21
54.11, 98.73
53.94, 98.31
53.81, 97.97
53.80, 97.89
53.81, 97.90
53.82, 97.96
53.81, 98.04
53.76, 98.10
53.56, 98.00
53.26, 97.82
52.90, 97.64
52.49, 97.45
52.03, 97.27
51.50, 97.18
50.90, 97.18
50.29, 97.20
49.70, 97.23
49.15, 97.26
48.67, 97.27
48.39, 97.18
48.17, 97.08
48.03, 97.00
47.95, 96.95
47.92, 96.94
47.98, 97.12
48.07, 97.36
48.19, 97.61
48.33, 97.86
48.48, 98.09
48.59, 98.20
48.68, 98.24
48.75, 98.24
48.81, 98.20
48.85, 98.12
48.84, 98.00
48.78, 97.84
48.71, 97.66
48.63, 97.45
48.57, 97.23
48.51, 97.01
48.51, 96.80
48.54, 96.58
48.59, 96.37
48.68, 96.17
48.81, 95.96
48.96, 95.71
49.15, 95.44
49.39, 95.21
49.69, 95.05
50.04, 94.98
50.53, 95.12
51.19, 95.54
51.88, 96.04
52.56, 96.59
53.20, 97.15
53.73, 97.65
54.03, 97.95
54.22, 98.20
54.30, 98.40
54.29, 98.57
54.18, 98.70
53.83, 98.84
53.39, 98.96
52.92, 99.05
52.47, 99.13
52.06, 99.18
51.89, 99.18
51.92, 99.16
52.03, 99.12
52.19, 99.09
52.40, 99.06
52.62, 99.07
52.82, 99.13
53.02, 99.20
53.22, 99.29
53.39, 99.39
53.51, 99.50
53.54, 99.64
53.54, 99.78
53.51, 99.90
53.47,100.00
53.42,100.06
53.37,100.01
53.31, 99.91
53.27, 99.78
53.25, 99.66
53.25, 99.56
53.30, 99.51
53.40, 99.51
53.52, 99.56
53.66, 99.65
53.84, 99.79
54.13,100.09
54.43,100.44
54.71,100.81
54.94,101.17
55.09,101.50
54.97,101.67
54.75,101.78
54.44,101.83
54.06,101.83
53.60,101.77
53.04,101.65
52.44,101.47
51.82,101.24
51.21,100.99
50.64,100.70
50.20,100.39
49.91,100.08
49.67, 99.75
49.47, 99.40
49.30, 99.04
49.15, 98.66
48.96, 98.21
48.79, 97.78
48.61, 97.36
48.43, 96.99
48.25, 96.67
48.03, 96.54
47.80, 96.51
47.57, 96.53
47.35, 96.56
47.14, 96.60
46.92, 96.55
46.64, 96.35
46.44, 96.16
46.35, 95.99
46.43, 95.89
46.73, 95.88
47.69, 96.15
48.79, 96.50
49.96, 96.91
51.13, 97.35
52.23, 97.80
52.84, 98.16
53.30, 98.49
53.64, 98.82
53.89, 99.13
54.05, 99.42
54.13, 99.64
54.16, 99.85
54.16,100.06
54.14,100.30
54.13,100.57
54.27,100.95
54.44,101.40
54.60,101.89
54.73,102.44
54.79,103.03
54.67,103.75
54.46,104.51
54.19,105.25
53.87,105.95
53.50,106.59
53.09,107.01
52.66,107.34
52.21,107.59
51.76,107.74
51.32,107.82
50.94,107.83
50.59,107.76
50.26,107.63
49.94,107.42
49.62,107.15
49.29,106.77
48.94,106.30
48.60,105.79
48.29,105.27
48.02,104.75
47.80,104.31
47.68,104.03
47.60,103.78
47.54,103.54
47.51,103.29
47.47,103.01
47.40,102.58
47.32,102.11
47.24,101.62
47.16,101.13
47.08,100.64
46.95,100.19
46.80, 99.79
46.66, 99.40
46.55, 99.04
46.48, 98.71
46.46, 98.40
46.58, 98.07
46.76, 97.77
47.00, 97.53
47.30, 97.34
47.64, 97.23
48.12, 97.30
48.67, 97.49
49.22, 97.73
49.72, 98.01
50.16, 98.28
50.36, 98.48
50.32, 98.60
50.20, 98.69
50.05, 98.78
49.88, 98.86
49.75, 98.94
49.83, 99.08
49.94, 99.22
50.09, 99.36
50.25, 99.48
50.44, 99.58
50.59, 99.61
50.73, 99.59
50.88, 99.55
51.06, 99.52
51.26, 99.51
51.48, 99.52
51.66, 99.56
51.91, 99.65
52.25, 99.80
52.71,100.01
53.31,100.31
54.40,100.75
55.66,101.28
56.96,101.90
58.24,102.61
59.44,103.41
60.30,104.37
60.99,105.40
61.50,106.46
61.85,107.53
61.98,108.57
61.77,109.50
61.40,110.38
60.93,111.20
60.38,111.94
59.83,112.60
59.43,113.17
59.02,113.64
58.61,114.01
58.19,114.25
57.74,114.37
57.20,114.24
56.63,113.95
56.04,113.55
55.47,113.06
54.90,112.51
54.37,111.91
53.88,111.28
53.44,110.64
53.06,110.01
52.75,109.41
52.53,108.86
52.41,108.38
